t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w
0.266791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255761,0.371906,-0.013664,-0.02508607,0.01603780,0.89099206,0.45304152,-0.301100,0.392907,0.003018,-0.03756389,0.01447620,0.88812947,0.45782687,-0.346746,0.401013,0.012474,-0.02512251,0.01238397,0.89547166,0.44423643,,,,,,,,,,,,,,,,,,,,,
0.275128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266016,0.372493,-0.001904,-0.01807274,0.00637281,0.89256379,0.45051375,-0.304530,0.396035,0.004861,-0.37628194,-0.42729267,0.74099947,0.35602339,-0.344047,0.407989,0.009535,-0.03073704,0.00883271,0.88913463,0.45652693,,,,,,,,,,,,,,,,,,,,,
0.283465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073315,0.311200,0.314759,0.68905573,0.21136358,0.62109778,0.30783953,-0.304633,0.390438,0.004048,-0.38182785,-0.44261074,0.73088670,0.35228945,-0.354429,0.404942,0.034842,-0.01651641,0.01518007,0.89116109,0.45313209,,,,,,,,,,,,,,,,,,,,,
0.291802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.270007,0.371093,0.003546,-0.01185917,0.00796329,0.89604488,0.44373362,-0.303144,0.392951,0.006175,-0.03952588,0.00627643,0.88815416,0.45779964,-0.335671,0.408047,0.010315,-0.37136605,-0.45578321,0.72586059,0.35703686,,,,,,,,,,,,,,,,,,,,,
0.300139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.260416,0.374372,-0.009903,-0.02621727,0.00674366,0.89120032,0.45280147,-0.311578,0.388175,0.013573,-0.38946619,-0.44806707,0.72619585,0.34668656,-0.348259,0.407034,0.015302,-0.37154347,-0.45646427,0.72779442,0.35201009,,,,,,,,,,,,,,,,,,,,,
0.308477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090573,0.297382,0.334696,0.69587270,0.19529660,0.62108972,0.30309730,-0.311545,0.387895,0.013862,-0.03227778,0.00784524,0.89229335,0.45023236,-0.348240,0.406882,0.015610,-0.03246256,0.00925301,0.88960729,0.45547714,,,,,,,,,,,,,,,,,,,,,
0.316814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066453,0.306172,0.321766,0.68232086,0.18440158,0.63377391,0.31426888,-0.301200,0.388494,0.002206,-0.39746525,-0.45265257,0.71953119,0.34554580,-0.335368,0.406729,0.000048,-0.02666481,0.02626465,0.88629926,0.46159807,,,,,,,,,,,,,,,,,,,,,
0.325151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.249677,0.375279,-0.019258,-0.04564488,-0.01825037,0.89068254,0.45196026,-0.299392,0.388495,-0.000746,-0.39593319,-0.44586604,0.72449260,0.34576128,-0.346002,0.401381,0.011080,-0.02140556,0.01965848,0.89064264,0.45377420,,,,,,,,,,,,,,,,,,,,,
0.333488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.248213,0.374969,-0.022529,-0.04369366,-0.01000237,0.89082307,0.45213391,-0.296368,0.394472,-0.003813,-0.04565494,0.01570257,0.88651305,0.46017787,-0.344080,0.402100,0.008177,-0.03110926,0.01200182,0.89184625,0.45110801,,,,,,,,,,,,,,,,,,,,,
0.341825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081677,0.303836,0.324864,0.69615245,0.19689898,0.61722523,0.30925002,-0.311737,0.393666,0.014720,-0.04208887,0.00615423,0.89100093,0.45200443,-0.344570,0.401897,0.008781,-0.37630342,-0.46251353,0.72526443,0.34419250,,,,,,,,,,,,,,,,,,,,,
